#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	03-Cecum_mph	03-Colon_mph	03-Rumen_mph	04-Cecum_mph	04-Colon_mph	04-Rumen_mph	05-Cecum_mph	05-Colon_mph	05-Rumen_mph
g__GGB33322	16.95804	16.08111	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB87498	13.76036	4.50304	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB82392	8.62423	7.14695	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB70891	6.74969	10.26435	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB85338	4.11297	5.02119	0.0	0.13695	0.21701	0.0	0.21914	0.03975	0.0
g__GGB25376	3.54293	2.30521	0.03921	0.08357	0.03113	0.0414	0.13658	0.0	0.20774
g__GGB82397	3.14319	3.86731	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Prevotellamassilia	2.79578	3.5693	0.0	0.0	0.0	0.0	0.49661	0.14552	0.0
g__GGB1123	2.1039	2.15903	0.0	1.1807	1.91754	0.0	7.81265	10.49298	0.0
g__Prevotella	1.94273	3.0403	4.66717	9.01341	10.11121	2.30011	12.9261	10.52692	9.37647
g__GGB28302	1.93941	1.37148	2.33152	9.31502	7.07939	34.03117	3.62489	4.31384	0.44881
g__GGB1379	1.81834	2.54973	0.0	0.67951	1.0046	0.0	3.30953	7.31458	0.0
g__GGB82163	1.79445	1.87835	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB2726	1.77683	0.11855	0.0	40.67393	33.70004	0.0	10.43526	11.0628	0.0
g__GGB70876	1.48901	1.44162	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Turicibacter	1.4799	1.48838	0.0	0.10231	0.0083	0.0	0.2936	0.41499	0.0
g__GGB79221	1.38582	2.80829	0.0	0.2952	0.18954	0.0	2.34265	5.19699	0.0
g__GGB1629	1.3156	1.98385	0.0	1.94667	2.50313	0.0	2.58109	2.21219	0.01537
g__GGB31988	1.26218	2.06207	0.0	0.30678	0.47863	0.0	0.2162	0.0	0.0
g__GGB1246	1.15707	1.26827	0.0	0.50412	0.67922	0.0	1.26625	1.15619	0.0
g__GGB33855	1.1305	3.45274	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Sutterella	1.03164	0.93347	0.0	0.25505	0.26501	0.0	1.51837	1.60113	0.0
g__GGB1631	1.01138	0.77908	0.0	0.51126	0.63355	0.0	1.38669	0.72209	0.0
g__GGB6553	0.97882	0.77351	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1247	0.94168	1.06268	0.0	2.8215	3.04689	0.0	0.0	0.0	0.0
g__Bacteroides	0.92838	1.34012	0.63987	0.00612	0.0662	0.51127	2.05513	2.86881	1.22947
g__GGB1239	0.88867	1.52424	0.0	1.85966	3.08974	0.0	1.69987	2.31351	0.0
g__Clostridia_unclassified	0.8623	1.60806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB49980	0.66809	1.01072	0.0	0.19208	0.36522	0.0	4.05098	8.32354	0.0
g__GGB30619	0.65562	0.17708	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB50437	0.64861	0.62493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1615	0.62186	0.47259	0.0	1.45933	1.63685	0.00175	4.1429	4.39067	0.31788
g__GGB79007	0.59286	0.07192	0.0	0.1612	0.10502	0.0	11.3248	4.47664	0.0
g__GGB1277	0.57984	1.07129	0.0	0.80663	0.84457	0.0	1.94543	1.81831	0.0
g__GGB1355	0.57868	0.83396	0.0	0.0	0.0	0.0	0.2322	0.06795	0.0
g__GGB27181	0.56539	0.11572	0.02512	0.44223	0.00342	0.20429	0.11358	0.0	0.16386
g__GGB33722	0.5495	0.48807	0.0	0.0	0.0	0.0	3.5417	3.33846	0.0
g__GGB81670	0.54684	0.32699	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB6572	0.54601	0.53185	0.0	0.0	0.0	0.0	1.08572	2.53868	0.0
g__GGB1248	0.5295	0.73415	0.0	0.33903	0.42565	0.0	0.19434	0.132	0.0
g__GGB4254	0.50441	1.1762	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Phascolarctobacterium	0.47723	1.17135	0.0	0.72631	0.46745	0.0	0.34622	0.05716	0.0
g__GGB35308	0.45096	0.7167	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1158	0.45069	0.55468	0.0	0.10631	0.22061	0.0	0.29393	0.08606	0.0
g__GGB6520	0.41113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1633	0.34968	0.13822	0.0	0.0	0.0	0.0	0.19407	0.0	0.0
g__GGB81867	0.33262	0.36573	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB32782	0.31276	0.14597	0.0	0.0	0.0	0.0	0.84871	0.0	0.0
g__GGB46149	0.29244	0.34471	0.0	0.0	0.00487	0.0	0.24184	0.08436	0.0
g__Escherichia	0.28442	0.35711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB81643	0.24345	0.12465	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB77497	0.22962	0.10666	0.0	0.0	0.0	0.0	0.11418	0.0	0.0
g__Segatella	0.21218	0.55182	0.01394	7.64091	12.31358	0.61924	2.1294	4.1338	0.43426
g__GGB84790	0.19722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB86166	0.19443	0.01991	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1153	0.17537	0.0	0.0	1.37539	1.35791	0.0	0.08426	0.0	0.0
g__GGB13275	0.16693	0.22587	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lactobacillus	0.16385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04009
g__GGB1547	0.13482	0.1376	0.0	0.00173	0.02765	0.0	0.02288	0.0	0.0
g__GGB85263	0.09289	0.08354	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB83354	0.08059	0.0	0.0	0.33353	0.35717	0.0	2.7065	1.75386	0.0
g__GGB3324	0.07046	0.4208	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB37543	0.06674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB70895	0.05912	0.12333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB29701	0.03738	0.21254	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNCLASSIFIED	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB56391	0.0	0.12028	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB86409	0.0	0.02621	0.0	0.0	0.0	0.0	0.14798	0.13263	0.0
g__GGB58234	0.0	0.01459	0.0	0.0	0.0	0.0	0.76145	0.24219	0.0
g__GGB24013	0.0	0.0	15.70593	0.0	0.0	0.29798	0.0	0.0	0.9588
g__GGB23989	0.0	0.0	14.62685	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26289	0.0	0.0	10.06953	0.0	0.0	5.85919	0.0	0.0	1.74795
g__GGB23994	0.0	0.0	7.61945	0.0	0.0	0.07689	0.0	0.0	0.80584
g__GGB23834	0.0	0.0	5.34367	0.0	0.0	0.18799	0.0	0.0	0.47061
g__GGB23948	0.0	0.0	4.31748	0.0	0.0	0.18442	0.0	0.0	0.38099
g__GGB28177	0.0	0.0	3.78662	0.0	0.0	0.0	0.0	0.0	0.07579
g__GGB82028	0.0	0.0	2.93473	0.0	0.0	0.04294	0.0	0.0	0.01299
g__GGB28113	0.0	0.0	2.35454	0.0	0.0	0.48486	0.0	0.0	2.85743
g__GGB24011	0.0	0.0	2.08239	0.0	0.0	3.80714	0.0	0.0	21.16995
g__GGB25150	0.0	0.0	1.45204	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB28142	0.0	0.0	1.38131	0.0	0.0	0.02682	0.0	0.0	0.0
g__GGB23993	0.0	0.0	1.34038	0.0	0.0	0.14228	0.0	0.0	0.0
g__GGB25148	0.0	0.0	1.33654	0.0	0.0	0.10619	0.0	0.0	0.0
g__GGB25261	0.0	0.0	0.9276	0.0	0.0	0.0	0.0	0.0	0.01712
g__GGB24042	0.0	0.0	0.81979	0.0	0.0	0.53155	0.0	0.0	1.99044
g__GGB28020	0.0	0.0	0.77027	0.0	0.0	3.98754	0.0	0.0	0.0
g__Fibrobacter	0.0	0.0	0.67595	0.0	0.0	1.03752	0.0	0.0	7.03048
g__GGB23903	0.0	0.0	0.64225	0.0	0.0	1.55024	0.0	0.0	0.13113
g__GGB23889	0.0	0.0	0.62171	0.0	0.0	0.22642	0.0	0.0	0.43582
g__GGB23997	0.0	0.0	0.58646	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23912	0.0	0.0	0.57083	0.0	0.0	6.98129	0.0	0.0	3.73649
g__GGB23921	0.0	0.0	0.55987	0.0	0.0	0.0376	0.0	0.0	0.02805
g__GGB28493	0.0	0.0	0.55342	0.0	0.0	0.18244	0.0	0.0	0.25568
g__GGB25090	0.0	0.0	0.50246	0.0	0.0	0.10547	0.0	0.0	0.10694
g__GGB25462	0.0	0.0	0.46163	0.0	0.0	0.0	0.0	0.0	0.02627
g__GGB30637	0.0	0.0	0.45912	0.0	0.0	0.01481	0.0	0.0	0.09853
g__Lachnospiraceae_unclassified	0.0	0.0	0.45562	0.38415	0.92237	0.50101	0.0	0.0	0.3141
g__GGB27988	0.0	0.0	0.45142	0.0	0.0	0.02402	0.0	0.0	0.0
g__GGB23833	0.0	0.0	0.41326	0.0	0.0	0.14482	0.0	0.0	0.14831
g__GGB1260	0.0	0.0	0.40994	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB25026	0.0	0.0	0.40118	0.0	0.0	0.0	0.0	0.0	0.02121
g__GGB23947	0.0	0.0	0.38901	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB25189	0.0	0.0	0.36802	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB25151	0.0	0.0	0.34349	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23827	0.0	0.0	0.34117	0.0	0.0	1.59792	0.0	0.0	2.4034
g__GGB29961	0.0	0.0	0.29825	0.0	0.0	0.23953	0.0	0.0	0.41791
g__Treponema	0.0	0.0	0.29009	0.0	0.0	0.41396	0.0	0.0	0.52262
g__GGB74443	0.0	0.0	0.28164	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23938	0.0	0.0	0.2592	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB27963	0.0	0.0	0.25819	0.0	0.0	0.21053	0.0	0.0	0.21722
g__GGB23914	0.0	0.0	0.25637	0.0	0.0	0.31877	0.0	0.0	0.39763
g__GGB1213	0.0	0.0	0.24782	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB49220	0.0	0.0	0.2467	0.0	0.0	0.05204	0.0	0.0	0.16289
g__GGB24008	0.0	0.0	0.23772	0.0	0.0	0.09859	0.0	0.0	0.0
g__GGB75006	0.0	0.0	0.23633	0.0	0.0	0.26306	0.0	0.0	0.42598
g__Sodaliphilus	0.0	0.0	0.23316	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB28168	0.0	0.0	0.22762	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26634	0.0	0.0	0.21489	0.0	0.0	0.17856	0.0	0.0	0.76838
g__GGB29430	0.0	0.0	0.19197	0.0	0.0	0.0	0.0	0.0	0.41424
g__GGB31087	0.0	0.0	0.18358	0.0	0.0	0.49957	0.0	0.0	0.21557
g__Selenomonas	0.0	0.0	0.18043	0.06263	0.0	0.04902	0.0	0.0	0.0289
g__GGB24832	0.0	0.0	0.14395	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB24851	0.0	0.0	0.13606	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26965	0.0	0.0	0.11821	0.0	0.0	0.0	0.0	0.0	0.0
g__Candidatus_Methanomethylophilus	0.0	0.0	0.11303	0.0	0.0	0.0401	0.0	0.0	0.46552
g__GGB23807	0.0	0.0	0.11293	0.0	0.0	0.88767	0.0	0.0	1.32144
g__GGB24047	0.0	0.0	0.11182	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23932	0.0	0.0	0.11129	0.0	0.0	0.26432	0.0	0.0	0.54379
g__GGB27519	0.0	0.0	0.11072	0.0	0.0	0.0	0.0	0.0	0.07102
g__GGB25147	0.0	0.0	0.10188	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23881	0.0	0.0	0.08939	0.0	0.0	0.01529	0.0	0.0	0.0
g__GGB24836	0.0	0.0	0.0892	0.0	0.0	0.0	0.0	0.0	0.00427
g__GGB25187	0.0	0.0	0.08741	0.0	0.0	0.0	0.0	0.0	0.0
g__Oscillibacter	0.0	0.0	0.08265	0.0	0.0	0.59331	0.0	0.0	0.9898
g__GGB19497	0.0	0.0	0.07894	0.0	0.0	0.0	0.0	0.0	0.36688
g__GGB24122	0.0	0.0	0.07532	0.0	0.0	0.02515	0.0	0.0	0.0
g__GGB26288	0.0	0.0	0.07359	0.0	0.0	0.0	0.0	0.0	0.4513
g__GGB23952	0.0	0.0	0.07076	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB25526	0.0	0.0	0.06799	0.0	0.0	0.03913	0.0	0.0	0.00384
g__GGB24121	0.0	0.0	0.06705	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26966	0.0	0.0	0.06247	0.0	0.0	1.29987	0.0	0.0	0.0107
g__GGB1617	0.0	0.0	0.0615	0.0	0.0	0.0	0.0	0.0	0.0194
g__GGB24831	0.0	0.0	0.04248	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23810	0.0	0.0	0.03907	0.0	0.0	0.21162	0.0	0.0	1.23172
g__GGB81451	0.0	0.0	0.03887	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB5989	0.0	0.0	0.03768	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB25544	0.0	0.0	0.03584	0.0	0.0	0.0	0.0	0.0	0.02172
g__GGB24058	0.0	0.0	0.02645	0.0	0.0	0.06701	0.0	0.0	0.0
g__GGB24033	0.0	0.0	0.02436	0.0	0.0	0.0	0.0	0.0	0.13478
g__GGB3190	0.0	0.0	0.02003	0.0	0.0	0.16553	0.0	0.0	0.0
g__Mitsuokella	0.0	0.0	0.01997	0.0	0.0	0.05583	0.0	0.0	0.03633
g__GGB23946	0.0	0.0	0.01634	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB1269	0.0	0.0	0.01435	0.0	0.0	0.66399	0.0	0.0	0.0
g__GGB25168	0.0	0.0	0.01382	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26961	0.0	0.0	0.01379	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB23890	0.0	0.0	0.01364	0.0	0.0	0.09598	0.0	0.0	0.0
g__GGB27604	0.0	0.0	0.01335	0.0	0.0	0.3434	0.0	0.0	0.31879
g__Wujia	0.0	0.0	0.01121	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB26957	0.0	0.0	0.0093	0.0	0.0	0.05036	0.0	0.0	0.04194
g__GGB25222	0.0	0.0	0.00542	0.0	0.0	0.0	0.0	0.0	0.0
g__GGB27971	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.02871
g__GGB1146	0.0	0.0	0.0	5.43561	6.30739	0.0	2.54396	4.01705	0.0
g__GGB4769	0.0	0.0	0.0	2.81974	3.8498	0.0	0.16887	0.10443	0.0
g__GGB24672	0.0	0.0	0.0	1.34048	1.39379	0.0	0.18957	0.11113	0.0
